line,col,source,char,lib,file,function,optimization,opt,arch,clangversion,type,id,leaks_secret,fixed_upstream
1043,9,     ip += t0off;,+,bearssl,src/ssl/ssl_hs_server.c,br_ssl_hs_server_run,Ofast--enable-module-inliner|O3--enable-module-inliner|O2--enable-module-inliner,flag1,RISCV,clang14,cjump,354,NO,not_fixed
1049,9,     ip += t0off;,+,bearssl,src/ssl/ssl_hs_server.c,br_ssl_hs_server_run,Ofast--enable-module-inliner|O3--enable-module-inliner|O2--enable-module-inliner,flag1,RISCV,clang14,cjump,354,NO,not_fixed
141,12,     t2[v] |= mask & base[v];,|,bearssl,src/int/i31_modpow2.c|src/int/i15_modpow2.c,br_i15_modpow_opt|br_i31_modpow_opt,Oz-fglobal-isel|Ofast--unswitch-threshold=0|O1--global-isel|O2--global-isel|O3--unswitch-threshold=0|Ofast--disable-peephole|Ofast|Oz--disable-peephole|Os--disable-peephole|O2-fglobal-isel|Oz--global-isel|O2|Oz|O1--disable-peephole|O2--disable-peephole|Os|O3--disable-peephole|Os--global-isel|O1|O3|Os-fglobal-isel|O1-fglobal-isel,levels|flag1,X8664|MIPS64|MIPS32EL|ARM|AArch64|RISCV,clang14|clang18|clang20,cjump|mmem,14,YES,not_fixed
141,20,     t2[v] |= mask & base[v];,&,bearssl,src/int/i31_modpow2.c,br_i31_modpow_opt,Oz-fglobal-isel|Ofast|O1|Os|O3|Ofast--unswitch-threshold=0|Os-fglobal-isel|Oz--global-isel|O1--global-isel|O1-fglobal-isel|O2-fglobal-isel|O2--global-isel|Os--global-isel|O2|Oz|O3--unswitch-threshold=0,levels|flag1,X8664|MIPS64|MIPS32EL|ARM|AArch64|RISCV,clang14|clang18|clang20,cjump,18,YES,not_fixed
424,12,     t2[v] |= mask & base[v];,|,bearssl,src/int/i62_modpow2.c,br_i62_modpow_opt,Ofast|O1|Os|O3|O2|Oz,levels,RISCV,clang14,cjump,338,YES,not_fixed
424,20,     t2[v] |= mask & base[v];,&,bearssl,src/int/i62_modpow2.c,br_i62_modpow_opt,Oz-fglobal-isel|Ofast|O1|Os|O3|Ofast--unswitch-threshold=0|Os-fglobal-isel|Oz--global-isel|O1--global-isel|O1-fglobal-isel|O2-fglobal-isel|O2--global-isel|Os--global-isel|O2|Oz|O3--unswitch-threshold=0,levels|flag1,AArch64|X8664|MIPS64|RISCV,clang14|clang18|clang20,cjump,23,YES,not_fixed
1289,17,    T.x[0] |= m & W[n].x[0];,&,bearssl,src/ec/ec_p256_m62.c,p256_mulgen|p256_mul,O1--force-specialization,flag1,X8664,clang20,cjump,539,YES,not_fixed
1307,17,    T.x[0] |= m & W[n].x[0];,&,bearssl,src/ec/ec_p256_m64.c,p256_mulgen|p256_mul,O1--force-specialization,flag1,X8664,clang20,cjump,541,YES,not_fixed
1297,17,    T.y[3] |= m & W[n].y[3];,&,bearssl,src/ec/ec_p256_m62.c,p256_mulgen|p256_mul,O2--force-specialization|O3--force-specialization|Ofast--force-specialization,flag1,X8664,clang20,cjump,540,YES,not_fixed
348,7,   a0 ^= (a0 ^ aw) & c0;,^,bearssl,src/int/i15_moddiv.c,br_i15_moddiv,Os--unroll-force-peel-count=100|Ofast--unroll-force-peel-count=100|O2--unroll-force-peel-count=100|Ofast--unroll-force-peel-count=50|O3--unroll-force-peel-count=50|Os--unroll-force-peel-count=50|O3--unroll-force-peel-count=100|O2--unroll-force-peel-count=50,flag1,RISCV,clang20,cjump,546,YES,not_fixed
362,7,   a0 ^= (a0 ^ aw) & c0;,^,bearssl,src/int/i31_moddiv.c,br_i31_moddiv,Os--unroll-force-peel-count=100|Ofast--unroll-force-peel-count=100|O2--unroll-force-peel-count=100|Ofast--unroll-force-peel-count=50|O3--unroll-force-peel-count=50|Os--unroll-force-peel-count=50|O3--unroll-force-peel-count=100|O2--unroll-force-peel-count=50,flag1,RISCV,clang20,cjump,548,YES,not_fixed
349,7,   a1 ^= (a1 ^ aw) & c1;,^,bearssl,src/int/i15_moddiv.c,br_i15_moddiv,Os--unroll-force-peel-count=100|Ofast--unroll-force-peel-count=100|O2--unroll-force-peel-count=100|Ofast--unroll-force-peel-count=50|O3--unroll-force-peel-count=50|Os--unroll-force-peel-count=50|O3--unroll-force-peel-count=100|O2--unroll-force-peel-count=50,flag1,RISCV,clang20,cjump,547,YES,not_fixed
363,7,   a1 ^= (a1 ^ aw) & c1;,^,bearssl,src/int/i31_moddiv.c,br_i31_moddiv,Os--unroll-force-peel-count=100|Ofast--unroll-force-peel-count=100|O2--unroll-force-peel-count=100|Ofast--unroll-force-peel-count=50|O3--unroll-force-peel-count=50|Os--unroll-force-peel-count=50|O3--unroll-force-peel-count=100|O2--unroll-force-peel-count=50,flag1,RISCV,clang20,cjump,549,YES,not_fixed
454,17,   a_lo += a_lo & (cA - 1);,&,bearssl,src/int/i31_moddiv.c,br_i31_moddiv,Oz-fglobal-isel|Ofast-fglobal-isel|O3--global-isel|O1--global-isel|O2--x86-cmov-converter-force-all|O2--global-isel|Ofast--x86-cmov-converter-force-all|O2-fglobal-isel|Oz--global-isel|Oz--x86-cmov-converter-force-all|O3--disable-loop-level-heuristics|O1--x86-cmov-converter-force-all|Ofast--disable-loop-level-heuristics|O3-fglobal-isel|Os--x86-cmov-converter-force-all|Os--global-isel|Ofast--global-isel|O3--x86-cmov-converter-force-all|Os-fglobal-isel|O1-fglobal-isel,flag1,X8664|AArch64|RISCV,clang18|clang20,cjump,17,YES,not_fixed
1626,6,"   c |= -(int32_t)EQ0(c) & CMP(k[u], P256_N[u]);",|,bearssl,src/ec/ec_p256_m62.c,api_mul,Ofast|O1|Os|O3|O2|Oz,levels,RISCV,clang14,cjump,332,YES,not_fixed
1626,26,"   c |= -(int32_t)EQ0(c) & CMP(k[u], P256_N[u]);",&,bearssl,src/ec/ec_p256_m62.c,api_mul,Oz-fglobal-isel|Ofast-fglobal-isel|O3--global-isel|O1--global-isel|O2--disable-select-optimize=false|O2--global-isel|Ofast|O3--disable-select-optimize=false|O3--select-opti-loop-cycle-gain-threshold=0|Ofast--partial-unrolling-threshold=50|O2-fglobal-isel|Oz--global-isel|O2|Oz|O3--disable-loop-level-heuristics|Os|O3--partial-unrolling-threshold=50|Ofast--disable-loop-level-heuristics|O3-fglobal-isel|Ofast--partial-unrolling-threshold=100|Os--global-isel|Ofast--disable-select-optimize=false|Ofast--global-isel|O1--disable-select-optimize=false|O3--unroll-allow-partial|O3--mispredict-default-rate=0|O1|Ofast--unroll-allow-partial|O3|Os-fglobal-isel|O3--partial-unrolling-threshold=100|O1-fglobal-isel|Ofast--select-opti-loop-cycle-gain-threshold=0|Ofast--mispredict-default-rate=0,levels|flag1,X8664|MIPS64|AArch64|RISCV,clang14|clang18|clang20,cjump,10,YES,not_fixed
1642,6,"   c |= -(int32_t)EQ0(c) & CMP(k[u], P256_N[u]);",|,bearssl,src/ec/ec_p256_m64.c,api_mul,Ofast|O1|Os|O3|O2|Oz,levels,RISCV,clang14,cjump,334,YES,not_fixed
1642,26,"   c |= -(int32_t)EQ0(c) & CMP(k[u], P256_N[u]);",&,bearssl,src/ec/ec_p256_m64.c,api_mul,Oz-fglobal-isel|Ofast-fglobal-isel|O3--global-isel|O1--global-isel|O2--disable-select-optimize=false|O2--global-isel|Ofast|O3--disable-select-optimize=false|O3--select-opti-loop-cycle-gain-threshold=0|Ofast--partial-unrolling-threshold=50|O2-fglobal-isel|Oz--global-isel|O2|Oz|O3--disable-loop-level-heuristics|Os|O3--partial-unrolling-threshold=50|Ofast--disable-loop-level-heuristics|O3-fglobal-isel|Ofast--partial-unrolling-threshold=100|Os--global-isel|Ofast--disable-select-optimize=false|Ofast--global-isel|O1--disable-select-optimize=false|O3--unroll-allow-partial|O3--mispredict-default-rate=0|O1|Ofast--unroll-allow-partial|O3|Os-fglobal-isel|O3--partial-unrolling-threshold=100|O1-fglobal-isel|Ofast--select-opti-loop-cycle-gain-threshold=0|Ofast--mispredict-default-rate=0,levels|flag1,X8664|MIPS64|AArch64|RISCV,clang14|clang18|clang20,cjump,11,YES,not_fixed
367,7,   c0 &= (((aw | bw) + 0x7FFFFFFF) >> 31) - (uint32_t)1;,&,bearssl,src/int/i31_moddiv.c,br_i31_moddiv,Oz-fglobal-isel|Ofast-fglobal-isel|O3--global-isel|O1--global-isel|O2--x86-cmov-converter-force-all|O2--global-isel|Ofast--x86-cmov-converter-force-all|O2-fglobal-isel|Oz--global-isel|Oz--x86-cmov-converter-force-all|O3--disable-loop-level-heuristics|O1--x86-cmov-converter-force-all|Ofast--disable-loop-level-heuristics|O3-fglobal-isel|Os--x86-cmov-converter-force-all|Os--global-isel|Ofast--global-isel|O3--x86-cmov-converter-force-all|Os-fglobal-isel|O1-fglobal-isel,flag1,X8664|AArch64|RISCV,clang18|clang20,cjump,16,YES,not_fixed
353,7,   c0 &= (((aw | bw) + 0xFFFF) >> 16) - (uint32_t)1;,&,bearssl,src/int/i15_moddiv.c,br_i15_moddiv,Oz-fglobal-isel|Ofast-fglobal-isel|O3--global-isel|O1--global-isel|O2--x86-cmov-converter-force-all|O2--global-isel|Ofast--x86-cmov-converter-force-all|O2-fglobal-isel|Oz--global-isel|Oz--x86-cmov-converter-force-all|O3--disable-loop-level-heuristics|O1--x86-cmov-converter-force-all|Ofast--disable-loop-level-heuristics|O3-fglobal-isel|Os--x86-cmov-converter-force-all|Os--global-isel|Ofast--global-isel|O3--x86-cmov-converter-force-all|Os-fglobal-isel|O1-fglobal-isel,flag1,X8664|AArch64|RISCV,clang18|clang20,cjump,13,YES,not_fixed
96,10,   carry &= -(~(iv1 | -iv1) >> 31);,&,bearssl,src/symcipher/aes_ct64_ctrcbc.c,br_aes_ct64_ctrcbc_ctr,Oz-fglobal-isel|O3--unroll-partial-threshold=100|Ofast-fglobal-isel|O2--partial-unrolling-threshold=100|O3--global-isel|O1--global-isel|O2--x86-cmov-converter-force-all|O2--disable-select-optimize=false|O2--global-isel|Ofast--x86-cmov-converter-force-all|Os--unroll-partial-threshold=100|O3--disable-select-optimize=false|O3--select-opti-loop-cycle-gain-threshold=0|O2-fglobal-isel|Oz--global-isel|Oz--x86-cmov-converter-force-all|O3--disable-loop-level-heuristics|O1--x86-cmov-converter-force-all|Ofast--disable-loop-level-heuristics|O3-fglobal-isel|Os--x86-cmov-converter-force-all|Ofast--partial-unrolling-threshold=100|Os--global-isel|Ofast--disable-select-optimize=false|Ofast--global-isel|Ofast--unroll-partial-threshold=100|O3--x86-cmov-converter-force-all|O1--disable-select-optimize=false|O2--unroll-partial-threshold=100|O3--mispredict-default-rate=0|Os-fglobal-isel|O3--partial-unrolling-threshold=100|Ofast--select-opti-loop-cycle-gain-threshold=0|O1-fglobal-isel|Ofast--mispredict-default-rate=0,flag1,X8664|MIPS64|MIPS32EL|AArch64|RISCV,clang14|clang18|clang20,cjump,50,NO,not_fixed
102,10,   carry &= -(~(iv1 | -iv1) >> 31);,&,bearssl,src/symcipher/aes_ct_ctrcbc.c,br_aes_ct_ctrcbc_ctr,Oz-fglobal-isel|Ofast-fglobal-isel|O3--global-isel|O1--global-isel|O2--x86-cmov-converter-force-all|O2--global-isel|Ofast--x86-cmov-converter-force-all|O2--fast-isel|O3--disable-select-optimize=false|O2-fglobal-isel|Oz--global-isel|Oz--x86-cmov-converter-force-all|O3--disable-loop-level-heuristics|O1--x86-cmov-converter-force-all|Ofast--disable-loop-level-heuristics|O3-fglobal-isel|Os--x86-cmov-converter-force-all|Os--global-isel|Ofast--disable-select-optimize=false|Ofast--aarch64-insert-extract-base-cost=0|Ofast--global-isel|O3--x86-cmov-converter-force-all|Oz--fast-isel|Os-fglobal-isel|O3--aarch64-insert-extract-base-cost=0|O1-fglobal-isel,flag1,X8664|MIPS64|MIPS32EL|AArch64|RISCV,clang14|clang18|clang20,cjump,57,NO,not_fixed
94,10,   carry &= -(~(iv2 | -iv2) >> 31);,&,bearssl,src/symcipher/aes_ct64_ctrcbc.c,br_aes_ct64_ctrcbc_ctr,Oz-fglobal-isel|Ofast-fglobal-isel|O3--global-isel|O1--global-isel|O2--x86-cmov-converter-force-all|O2--disable-select-optimize=false|O2--global-isel|Ofast--x86-cmov-converter-force-all|Ofast|O3--disable-select-optimize=false|O3--select-opti-loop-cycle-gain-threshold=0|O2-fglobal-isel|Oz--global-isel|Oz--x86-cmov-converter-force-all|O2|Oz|O3--disable-loop-level-heuristics|O1--x86-cmov-converter-force-all|Os|Ofast--disable-loop-level-heuristics|O3-fglobal-isel|Os--x86-cmov-converter-force-all|Os--global-isel|Ofast--disable-select-optimize=false|Ofast--global-isel|O3--x86-cmov-converter-force-all|O1--disable-select-optimize=false|O3--mispredict-default-rate=0|O1|O3|Os-fglobal-isel|Ofast--select-opti-loop-cycle-gain-threshold=0|O1-fglobal-isel|Ofast--mispredict-default-rate=0,levels|flag1,X8664|MIPS64|MIPS32EL|AArch64|RISCV,clang14|clang18|clang20,cjump,49,NO,not_fixed
100,10,   carry &= -(~(iv2 | -iv2) >> 31);,&,bearssl,src/symcipher/aes_ct_ctrcbc.c,br_aes_ct_ctrcbc_ctr,Oz-fglobal-isel|Ofast-fglobal-isel|O3--global-isel|O1--global-isel|O2--x86-cmov-converter-force-all|O2--global-isel|Ofast--x86-cmov-converter-force-all|Ofast|O2--fast-isel|O3--disable-select-optimize=false|O2-fglobal-isel|Oz--global-isel|Oz--x86-cmov-converter-force-all|O2|Oz|O3--disable-loop-level-heuristics|O1--x86-cmov-converter-force-all|Os|Ofast--disable-loop-level-heuristics|O3-fglobal-isel|Os--x86-cmov-converter-force-all|Os--global-isel|Ofast--disable-select-optimize=false|Ofast--global-isel|O3--x86-cmov-converter-force-all|O1|Oz--fast-isel|O3|Os-fglobal-isel|O1-fglobal-isel,levels|flag1,X8664|MIPS64|MIPS32EL|AArch64|RISCV,clang14|clang20,cjump,361,NO,not_fixed
97,8,   iv0 += carry;,+,bearssl,src/symcipher/aes_ct64_ctrcbc.c,br_aes_ct64_ctrcbc_ctr,Ofast|O1|Os|O3|O2|Oz,levels,RISCV,clang14,cjump,357,NO,not_fixed
103,8,   iv0 += carry;,+,bearssl,src/symcipher/aes_ct_ctrcbc.c,br_aes_ct_ctrcbc_ctr,Ofast|O1|Os|O3|O2|Oz,levels,RISCV,clang14,cjump,362,NO,not_fixed
271,19,   m11 += w << (5 & -(u & 1));,&,bearssl,src/rsa/rsa_i15_keygen.c,mkprime,Oz-fglobal-isel|Ofast-fglobal-isel|Os-fglobal-isel|O3--global-isel|O3-fglobal-isel|Oz--global-isel|O1--global-isel|O1-fglobal-isel|O2-fglobal-isel|O2--global-isel|Os--global-isel|Ofast--global-isel,flag1,RISCV,clang20,cjump,550,YES,not_fixed
438,26,   x[u] = (mask1 & x[u]) | (mask2 & t1[u]);,|,bearssl,src/int/i62_modpow2.c,br_i62_modpow_opt_as_i31|br_i62_modpow_opt,Ofast|Ofast--inline-instr-cost=0|O1|O3--inline-call-penalty=-1|O3--unswitch-num-initial-unscaled-candidates=-1|Os|Ofast--unswitch-num-initial-unscaled-candidates=0|O3|Ofast--inline-call-penalty=-1|Ofast--unswitch-threshold=0|Ofast--unswitch-num-initial-unscaled-candidates=-1|O3--inline-instr-cost=0|Ofast--inline-instr-cost=-1|O3--unswitch-num-initial-unscaled-candidates=0|O3--inline-instr-cost=-1|O2|Oz|O3--unswitch-threshold=0,levels|flag1,AArch64|X8664|MIPS64|RISCV,clang14|clang18|clang20,cjump|mmem,24,YES,not_fixed
438,35,   x[u] = (mask1 & x[u]) | (mask2 & t1[u]);,&,bearssl,src/int/i62_modpow2.c,br_i62_modpow_opt,O3-fno-inline-functions|Oz--enable-coldcc-stress-test|O1-fno-inline-functions|O3--enable-coldcc-stress-test|Os-fno-inline|Oz-fno-inline|Os--enable-coldcc-stress-test|Ofast-fno-inline|O3-fno-inline|Ofast--enable-coldcc-stress-test|O2-fno-inline|O1-fno-inline|O2-fno-inline-functions|O2--enable-coldcc-stress-test|Ofast-fno-inline-functions|Os-fno-inline-functions|Oz-fno-inline-functions|O1--enable-coldcc-stress-test,flag1,AArch64|X8664|MIPS64|RISCV,clang18|clang20,cjump,25,YES,not_fixed
1281,10,   xy[u] |= m & Gwin[k][u];,|,bearssl,src/ec/ec_p256_m31.c,p256_mulgen,Ofast|Oz--disable-peephole|Os--disable-peephole|O1|Os|O3|O2|Oz|O1--disable-peephole,levels|flag1,RISCV|ARM,clang14|clang18|clang20,cjump|mmem,331,YES,not_fixed
1281,15,   xy[u] |= m & Gwin[k][u];,&,bearssl,src/ec/ec_p256_m31.c,p256_mulgen,Oz-fglobal-isel|O2--slp-schedule-budget=-1|Os--unroll-count=100|Oz--unroll-count=50|O2--unroll-count=100|O1--global-isel|O2--slp-min-reg-size=-1|O2--global-isel|O2-fno-unroll-loops|O3--unroll-count=50|O2--slp-threshold=50|Ofast|Os--unroll-force-peel-count=100|O2--unroll-count=50|O2-fno-tree-slp-vectorize|O2--slp-threshold=100|O2--slp-schedule-budget=0|O2--unroll-count=0|O2--unroll-full-max-count=0|O2--slp-min-tree-size=50|O2--slp-max-reg-size=50|O2-fapple-kext|O2-fglobal-isel|Oz--global-isel|O2--slp-max-reg-size=0|Ofast--unroll-count=100|O2|Oz|O2--slp-min-tree-size=100|Os|O3--unroll-count=100|Ofast--unroll-count=50|Os--unroll-count=50|O2--unroll-threshold-default=0|Os--unroll-force-peel-count=50|O2--rotation-max-header-size=0|O2--unroll-threshold-default=100|Os--global-isel|Oz--unroll-count=100|O2--unroll-threshold=50|O2--unroll-threshold=0|O1|O3|Os-fglobal-isel|O2--unroll-threshold-default=50|O2--unroll-threshold=100|O2--slp-recursion-max-depth=0|O1-fglobal-isel|O2-fno-slp-vectorize,levels|flag1,X8664|MIPS64|MIPS32EL|ARM|AArch64|RISCV,clang14|clang18|clang20,cjump,9,YES,not_fixed
1932,10,   xy[u] |= m & Gwin[k][u];,|,bearssl,src/ec/ec_p256_m15.c,p256_mulgen,Ofast|Oz--disable-peephole|Os--disable-peephole|O3|O2|Oz|O1--disable-peephole,levels|flag1,RISCV|ARM,clang14,cjump|mmem,328,YES,not_fixed
1932,15,   xy[u] |= m & Gwin[k][u];,&,bearssl,src/ec/ec_p256_m15.c,p256_mulgen,Oz-fglobal-isel|Os--unroll-count=100|Oz--unroll-count=50|Ofast--unswitch-threshold=0|O2--unroll-count=100|O2--global-isel|O3--unroll-count=50|O3--unswitch-threshold=0|Ofast|Os--unroll-force-peel-count=100|O2--unroll-count=50|O2-fglobal-isel|Oz--global-isel|Ofast--unroll-count=100|O2|Oz|Os|O3--unroll-count=100|Ofast--unroll-count=50|Os--unroll-count=50|Os--unroll-force-peel-count=50|Oz--unroll-count=100|O1|O3,levels|flag1,X8664|MIPS64|MIPS32EL|ARM|AArch64|RISCV,clang14|clang18|clang20,cjump,8,YES,not_fixed
83,11,  + lines + 2;,+,bearssl,src/codec/pemenc.c,br_pem_encode,O3--two-entry-phi-node-folding-threshold=100|O1--two-entry-phi-node-folding-threshold=50|O3--two-entry-phi-node-folding-threshold=50|Ofast--two-entry-phi-node-folding-threshold=50|O2--two-entry-phi-node-folding-threshold=100|Ofast--two-entry-phi-node-folding-threshold=100|Os--two-entry-phi-node-folding-threshold=50|O1--two-entry-phi-node-folding-threshold=100|Os--two-entry-phi-node-folding-threshold=100|O2--two-entry-phi-node-folding-threshold=50,flag1,RISCV,clang14,cjump,323,NO,not_fixed
266,10,  acc[i] &= ~(-ctl);,&,bearssl,src/symcipher/poly1305_ctmul32.c,br_poly1305_ctmul32_run,Ofast-fglobal-isel|Oz--jump-threading-across-loop-headers|O3--global-isel|O1--global-isel|O3--unroll-full-max-count=0|O2--x86-cmov-converter-force-all|O2--global-isel|Ofast--unroll-threshold=0|Ofast--x86-cmov-converter-force-all|O2-fno-unroll-loops|Ofast|O2--unroll-count=0|O2--unroll-full-max-count=0|O2-fglobal-isel|O2|Os|O3-fglobal-isel|O2--unroll-threshold-default=0|Os--global-isel|Ofast-fno-unroll-loops|Ofast--global-isel|O3--x86-cmov-converter-force-all|Ofast--unroll-count=0|O2--unroll-threshold=0|Ofast--unroll-full-max-count=0|O1|Ofast--unroll-threshold-aggressive=0|O3-fno-unroll-loops|O3|Os-fglobal-isel|O1-fglobal-isel|O3--unroll-threshold=0|O3--unroll-count=0|O3--unroll-threshold-aggressive=0,levels|flag1,X8664|MIPS64|MIPS32EL|AArch64|RISCV,clang20,cjump|mmem,557,YES,not_fixed
54,12,  aw = (aw ^ xm) + cc;,^,bearssl,src/int/i15_moddiv.c,br_i15_moddiv,O3--unswitch-threshold=-1|Ofast--unswitch-threshold=-1,flag1,RISCV,clang14,cjump,335,YES,not_fixed
78,9,  carry &= (~(cc1 | -cc1)) >> 31;,&,bearssl,src/symcipher/aes_small_ctrcbc.c|src/symcipher/aes_big_ctrcbc.c,br_aes_big_ctrcbc_ctr|br_aes_small_ctrcbc_ctr,Oz-fglobal-isel|Ofast-fglobal-isel|O3--global-isel|O1--global-isel|O2--x86-cmov-converter-force-all|O2--global-isel|Ofast--x86-cmov-converter-force-all|O3--select-opti-loop-cycle-gain-threshold=0|O2-fglobal-isel|Oz--global-isel|Oz--x86-cmov-converter-force-all|O3--disable-loop-level-heuristics|O1--x86-cmov-converter-force-all|Ofast--disable-loop-level-heuristics|O3-fglobal-isel|Os--x86-cmov-converter-force-all|Os--global-isel|Ofast--global-isel|O3--x86-cmov-converter-force-all|Os-fglobal-isel|O1-fglobal-isel|Ofast--select-opti-loop-cycle-gain-threshold=0,flag1,AArch64|X8664|RISCV,clang20,cjump,556,NO,not_fixed
80,9,  carry &= (~(cc2 | -cc2)) >> 31;,&,bearssl,src/symcipher/aes_big_ctrcbc.c|src/symcipher/aes_small_ctrcbc.c,br_aes_big_ctrcbc_ctr|br_aes_small_ctrcbc_ctr,Oz-fglobal-isel|Ofast-fglobal-isel|O3--global-isel|O1--global-isel|O2--x86-cmov-converter-force-all|O2--global-isel|Ofast--x86-cmov-converter-force-all|O3--select-opti-loop-cycle-gain-threshold=0|O2-fglobal-isel|Oz--global-isel|Oz--x86-cmov-converter-force-all|O3--disable-loop-level-heuristics|O1--x86-cmov-converter-force-all|Ofast--disable-loop-level-heuristics|O3-fglobal-isel|Os--x86-cmov-converter-force-all|Os--global-isel|Ofast--global-isel|O3--x86-cmov-converter-force-all|Os-fglobal-isel|O1-fglobal-isel|Ofast--select-opti-loop-cycle-gain-threshold=0,flag1,AArch64|X8664|RISCV,clang20,cjump,555,NO,not_fixed
90,9,  carry &= -(~(iv1 | -iv1) >> 31);,&,bearssl,src/symcipher/aes_ct_ctrcbc.c,br_aes_ct_ctrcbc_ctr,Oz-fglobal-isel|Ofast-fglobal-isel|O3--global-isel|O1--global-isel|O2--x86-cmov-converter-force-all|O2--global-isel|Ofast--x86-cmov-converter-force-all|O2--fast-isel|O3--disable-select-optimize=false|O2-fglobal-isel|Oz--global-isel|Oz--x86-cmov-converter-force-all|O3--disable-loop-level-heuristics|O1--x86-cmov-converter-force-all|Ofast--disable-loop-level-heuristics|O3-fglobal-isel|Os--x86-cmov-converter-force-all|Os--global-isel|Ofast--disable-select-optimize=false|Ofast--aarch64-insert-extract-base-cost=0|Ofast--global-isel|O3--x86-cmov-converter-force-all|Oz--fast-isel|Os-fglobal-isel|O3--aarch64-insert-extract-base-cost=0|O1-fglobal-isel,flag1,X8664|MIPS64|MIPS32EL|AArch64|RISCV,clang14|clang18|clang20,cjump,56,NO,not_fixed
234,9,  carry &= -(~(iv1 | -iv1) >> 31);,&,bearssl,src/symcipher/aes_ct64_ctrcbc.c,br_aes_ct64_ctrcbc_encrypt,Oz-fglobal-isel|Ofast-fglobal-isel|O3--global-isel|O1--global-isel|O2--x86-cmov-converter-force-all|O2--global-isel|Ofast--x86-cmov-converter-force-all|O3--select-opti-loop-cycle-gain-threshold=0|O2-fglobal-isel|Oz--global-isel|Oz--x86-cmov-converter-force-all|O3--disable-loop-level-heuristics|O1--x86-cmov-converter-force-all|Ofast--disable-loop-level-heuristics|O3-fglobal-isel|Os--x86-cmov-converter-force-all|Os--global-isel|Ofast--aarch64-insert-extract-base-cost=0|Ofast--global-isel|O3--x86-cmov-converter-force-all|Os-fglobal-isel|O3--aarch64-insert-extract-base-cost=0|Ofast--select-opti-loop-cycle-gain-threshold=0|O1-fglobal-isel,flag1,X8664|AArch64|RISCV,clang18|clang20,cjump,52,NO,not_fixed
236,9,  carry &= -(~(iv1 | -iv1) >> 31);,&,bearssl,src/symcipher/aes_ct_ctrcbc.c,br_aes_ct_ctrcbc_encrypt,Oz-fglobal-isel|Ofast-fglobal-isel|O3--global-isel|O1--global-isel|O2--x86-cmov-converter-force-all|O2--global-isel|Ofast--x86-cmov-converter-force-all|O3--select-opti-loop-cycle-gain-threshold=0|O2-fglobal-isel|Oz--global-isel|Oz--x86-cmov-converter-force-all|O3--disable-loop-level-heuristics|O1--x86-cmov-converter-force-all|Ofast--disable-loop-level-heuristics|O3-fglobal-isel|Os--x86-cmov-converter-force-all|Os--global-isel|Ofast--global-isel|O3--x86-cmov-converter-force-all|O3--mispredict-default-rate=0|Os-fglobal-isel|Ofast--select-opti-loop-cycle-gain-threshold=0|O1-fglobal-isel|Ofast--mispredict-default-rate=0,flag1,X8664|AArch64|RISCV,clang18|clang20,cjump,59,NO,not_fixed
